,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,TIME
0,980900,1790183,737764,1790527,587001,426308,1491583,1414848,1142584,1601139,1909353,1303719,1107531,1118003,1166640,463742,1603725,1558223,1630665,451026,685801,1184459,2200993,1139866,617871,1456718,1068558,1991864,1084436,605310,1216436,1749187,656665,620456,1844137,2242750,754414,886530,1523877,790955,1526687,1332569,2201734,1509421,1487008,739794,1055735,857039,900852,775888,652712,647421,1555093,572289,888111,1055516,992387,746508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,789008,1528162,660173,1544756,512683,375692,1258355,1284611,981632,1492073,1690882,1116194,939071,1029729,1018043,407841,1333108,1220709,1470168,382335,552438,1120761,1868936,971930,500751,1359831,969457,1711167,913280,579668,1144346,1450678,636879,532922,1516559,1932429,649515,836866,1401099,722871,1401893,1327330,1934675,1378069,1362888,700680,1066489,837346,799056,628398,608692,591392,1477857,561818,745558,1003813,950491,752277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2,909200,1663872,722538,1634875,589780,405093,1386507,1457806,1137614,1567861,1836586,1265240,1002810,1201062,984339,445804,1488613,1306848,1618686,417821,599085,1289004,2002011,1057015,545269,1604027,1061094,2019244,995140,661116,1320154,1519386,677549,592725,1667536,2089927,713322,1003481,1595079,798623,1548382,1484524,2137154,1551307,1626993,699715,1254057,986327,874630,680349,760720,652502,1701927,679717,803268,1163060,1052398,839787,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3,863421,1561955,737942,1536493,633088,425746,1329953,1373889,1068915,1431458,1775152,1122948,970398,1133544,941459,467869,1413852,1278878,1452079,473629,579085,1239608,1800659,940859,585463,1486408,958936,1799196,954227,596858,1313194,1432178,683460,540898,1523149,1940883,688618,949092,1469517,734540,1468596,1382681,1869988,1428636,1461084,671444,1215186,933833,862368,681573,626917,633382,1569078,638030,777140,1069610,990908,761326,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4,972825,1719324,749142,1658265,668314,484072,1423836,1383269,1079629,1464492,1765264,1205051,1008031,1139321,962847,479451,1567223,1377610,1499932,463028,614447,1219269,1939519,991686,675496,1509271,942015,1765978,978350,614618,1325351,1562338,644022,577626,1583082,2098016,782905,923261,1402694,683082,1509572,1593132,1931957,1516137,1415224,708110,1163238,880768,946076,687670,643617,615635,1524988,607882,974752,1012334,964070,814952,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
5,962196,1721918,734812,1614478,670964,465779,1375368,1280096,1035789,1455808,1792031,1204330,958755,1135764,939128,472715,1575258,1211730,1394127,466567,591464,1242481,1854134,923777,644116,1542559,980494,1693141,935141,621744,1351491,1571451,678163,570588,1571005,2024275,771124,917048,1359942,668445,1510681,1621098,1923185,1536909,1370058,733379,1116851,869945,944040,706346,607861,578090,1514906,584466,1062011,911735,943971,910336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
6,1029837,1856350,742484,1698874,696135,511951,1490590,1332621,1139700,1638184,1882878,1295800,1028115,1048897,1001222,504608,1893942,1270326,1613798,478238,620266,1193981,2024747,1048045,717986,1513913,993821,1783474,954569,626509,1377676,1670521,693196,621150,1747887,2035549,797370,885903,1446255,696252,1642379,1735865,2200787,1563447,1247548,763521,1031487,874931,1002349,759643,564282,595744,1518806,540381,1302995,954177,852243,945098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
7,1020137,1943999,781995,1803488,709066,462610,1570966,1428277,1135027,1808305,1995421,1296557,1087557,1049025,1034798,493287,1969641,1382408,1646030,433256,659861,1219710,2043943,1151203,704626,1502919,1026299,1782924,1042954,658971,1390080,1817156,711259,666121,1918908,2158119,883029,877025,1554000,692119,1704028,1741824,2263358,1650065,1224889,779351,1054140,892769,1092374,754365,603797,619270,1475801,527989,1288521,953016,817032,1073763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
8,908518,1754384,718432,1556056,636088,370361,1321381,1345092,992994,1594635,1836834,1177234,989916,1018832,974529,451758,1622220,1221883,1460184,397296,564037,1128878,1825681,949221,609910,1336269,868726,1744792,954107,620667,1210455,1477652,657832,566844,1771146,1825018,725219,957244,1382041,646062,1445160,1489989,1813445,1410280,1306380,692725,1075700,905304,982883,622575,587353,532806,1421015,570873,960176,932594,794150,892577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0
9,938087,1730060,715027,1516868,655151,394548,1340326,1338779,1005448,1513827,1821949,1280329,1010836,1061965,990486,477734,1656197,1180694,1386457,425976,598565,1201834,1816997,1045544,625034,1383057,889523,1750181,984750,624898,1237866,1559951,658613,579484,1705809,1795458,753401,995309,1374479,674584,1465648,1446530,1834454,1508537,1405912,756695,1153564,948428,955011,672064,611734,553297,1360533,581846,994395,1015547,863149,967385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0
