,sales,area
0,1040091,107.0
1,795407,109.0
2,752838,112.0
3,808349,130.0
4,737828,150.0
5,1383362,154.0
6,711246,157.0
7,650907,160.0
8,795732,160.0
9,1626377,160.5
10,960410,165.0
11,1755050,165.0
12,585761,168.0
13,549128,170.0
14,779227,182.4
15,1167381,186.0
16,1225150,190.7
17,991666,194.0
18,1198860,197.0
19,1083765,200.0
20,736575,205.0
21,985435,206.0
22,856690,217.0
23,1880767,218.0
24,1323384,222.0
25,657288,226.0
26,932900,238.0
27,521376,252.4
28,1833550,260.0
29,1770990,262.0
30,1156173,270.0
31,1812923,275.0
32,1244149,280.0
33,1640759,284.3
34,2190913,287.0
35,1200120,290.0
36,1289207,302.0
37,1347850,307.5
38,1080509,312.0
39,1732449,314.0
40,1034589,321.0
41,876934,330.0
42,1383055,330.0
43,1302991,330.0
44,1578165,340.0
45,1675109,372.0
46,1886020,405.0
47,1831255,424.0
48,1837325,429.0
49,1475903,439.0
50,1729189,444.0
51,1412852,454.0
52,1806886,491.4
53,1746378,518.4
54,2100080,528.0
55,2084596,528.0
56,1664316,542.0
57,2170717,583.0
