,sales,area,cluster,bread,parking
0,1040090.6,107.0,4,1,1
1,795406.94,109.0,3,0,1
2,752838.25,112.0,3,1,0
3,808349.4,130.0,3,1,0
4,737828.0,150.0,2,0,1
5,1383361.9,154.0,5,1,1
6,711246.06,157.0,2,0,1
7,650907.06,160.0,1,0,0
8,795732.3,160.0,2,0,0
9,1626376.5,160.5,5,1,1
10,960409.7,165.0,3,1,0
11,1755049.8,165.0,5,1,1
12,585761.25,168.0,1,0,0
13,549128.0,170.0,1,0,0
14,779227.5,182.4,1,0,0
15,1167381.0,186.0,3,1,1
16,1225149.6,190.7,3,1,0
17,991666.2,194.0,2,0,1
18,1198859.5,197.0,3,1,0
19,1083764.8,200.0,2,0,0
20,736574.75,205.0,1,0,0
21,985434.5,206.0,2,1,0
22,856690.44,217.0,1,1,0
23,1880767.2,218.0,5,1,1
24,1323383.5,222.0,3,1,0
25,657288.3,226.0,0,0,0
26,932900.0,238.0,1,0,0
27,521376.3,252.4,0,0,0
28,1833550.0,260.0,5,1,1
29,1770989.6,262.0,4,1,0
30,1156173.1,270.0,1,1,0
31,1812922.8,275.0,4,1,1
32,1244148.6,280.0,2,1,0
33,1640758.9,284.3,3,0,1
34,2190912.5,287.0,5,1,1
35,1200119.9,290.0,1,1,0
36,1289206.9,302.0,1,0,0
37,1347850.2,307.5,2,0,0
38,1080509.2,312.0,0,0,0
39,1732449.1,314.0,3,0,1
40,1034589.25,321.0,0,0,0
41,876933.8,330.0,0,0,0
42,1383055.1,330.0,1,0,0
43,1302991.2,330.0,1,0,0
44,1578165.2,340.0,2,0,1
45,1675109.0,372.0,2,0,0
46,1886020.5,405.0,2,0,0
47,1831254.9,424.0,2,0,0
48,1837325.1,429.0,1,0,0
49,1475902.5,439.0,0,0,0
50,1729188.8,444.0,1,0,0
51,1412851.8,454.0,0,0,0
52,1806885.6,491.4,0,0,0
53,1746378.1,518.4,0,0,0
54,2100080.0,528.0,1,0,0
55,2084595.9,528.0,1,0,0
56,1664315.9,542.0,0,0,0
