,SALES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,TIM
0,27304.234,1,0,0,0,0,0,0,0,0,0,0,1
1,27794.629,0,1,0,0,0,0,0,0,0,0,0,2
2,33276.516,0,0,1,0,0,0,0,0,0,0,0,3
3,22047.254,0,0,0,1,0,0,0,0,0,0,0,4
4,14415.667,0,0,0,0,1,0,0,0,0,0,0,5
5,8495.326,0,0,0,0,0,1,0,0,0,0,0,6
6,13390.298,0,0,0,0,0,0,1,0,0,0,0,7
7,9395.444,0,0,0,0,0,0,0,1,0,0,0,8
8,13132.289,0,0,0,0,0,0,0,0,1,0,0,9
9,16662.545,0,0,0,0,0,0,0,0,0,1,0,10
10,17476.719,0,0,0,0,0,0,0,0,0,0,1,11
11,21526.154,0,0,0,0,0,0,0,0,0,0,0,12
12,23922.79,1,0,0,0,0,0,0,0,0,0,0,13
13,32285.625,0,1,0,0,0,0,0,0,0,0,0,14
14,38635.17,0,0,1,0,0,0,0,0,0,0,0,15
15,24695.822,0,0,0,1,0,0,0,0,0,0,0,16
16,12204.531,0,0,0,0,1,0,0,0,0,0,0,17
17,9789.444,0,0,0,0,0,1,0,0,0,0,0,18
18,9169.45,0,0,0,0,0,0,1,0,0,0,0,19
19,8410.938,0,0,0,0,0,0,0,1,0,0,0,20
20,12711.222,0,0,0,0,0,0,0,0,1,0,0,21
21,17246.273,0,0,0,0,0,0,0,0,0,1,0,22
22,21044.11,0,0,0,0,0,0,0,0,0,0,1,23
23,23469.74,0,0,0,0,0,0,0,0,0,0,0,24
24,20272.898,1,0,0,0,0,0,0,0,0,0,0,25
25,22862.674,0,1,0,0,0,0,0,0,0,0,0,26
26,12375.478,0,0,1,0,0,0,0,0,0,0,0,27
27,25546.389,0,0,0,1,0,0,0,0,0,0,0,28
28,14129.536,0,0,0,0,1,0,0,0,0,0,0,29
29,11942.88,0,0,0,0,0,1,0,0,0,0,0,30
30,9424.363,0,0,0,0,0,0,1,0,0,0,0,31
31,9257.344,0,0,0,0,0,0,0,1,0,0,0,32
32,17722.465,0,0,0,0,0,0,0,0,1,0,0,33
33,37527.69,0,0,0,0,0,0,0,0,0,1,0,34
34,43363.973,0,0,0,0,0,0,0,0,0,0,1,35
35,40800.996,0,0,0,0,0,0,0,0,0,0,0,36
36,34419.785,1,0,0,0,0,0,0,0,0,0,0,37
37,52294.668,0,1,0,0,0,0,0,0,0,0,0,38
38,73120.11,0,0,1,0,0,0,0,0,0,0,0,39
39,49505.4,0,0,0,1,0,0,0,0,0,0,0,40
40,21257.832,0,0,0,0,1,0,0,0,0,0,0,41
41,7124.562,0,0,0,0,0,1,0,0,0,0,0,42
42,17999.016,0,0,0,0,0,0,1,0,0,0,0,43
43,15970.821,0,0,0,0,0,0,0,1,0,0,0,44
44,22007.469,0,0,0,0,0,0,0,0,1,0,0,45
45,30228.764,0,0,0,0,0,0,0,0,0,1,0,46
46,41976.62,0,0,0,0,0,0,0,0,0,0,1,47
47,37966.984,0,0,0,0,0,0,0,0,0,0,0,48
48,36674.348,1,0,0,0,0,0,0,0,0,0,0,49
49,53707.242,0,1,0,0,0,0,0,0,0,0,0,50
50,66377.555,0,0,1,0,0,0,0,0,0,0,0,51
51,48507.414,0,0,0,1,0,0,0,0,0,0,0,52
52,28954.418,0,0,0,0,1,0,0,0,0,0,0,53
53,18194.732,0,0,0,0,0,1,0,0,0,0,0,54
54,18015.67,0,0,0,0,0,0,1,0,0,0,0,55
55,20048.158,0,0,0,0,0,0,0,1,0,0,0,56
56,31348.98,0,0,0,0,0,0,0,0,1,0,0,57
57,40759.918,0,0,0,0,0,0,0,0,0,1,0,58
58,55861.375,0,0,0,0,0,0,0,0,0,0,1,59
59,58676.582,0,0,0,0,0,0,0,0,0,0,0,60
60,55695.055,1,0,0,0,0,0,0,0,0,0,0,61
61,77992.984,0,1,0,0,0,0,0,0,0,0,0,62
62,85161.67,0,0,1,0,0,0,0,0,0,0,0,63
63,58612.332,0,0,0,1,0,0,0,0,0,0,0,64
64,32061.877,0,0,0,0,1,0,0,0,0,0,0,65
65,21080.648,0,0,0,0,0,1,0,0,0,0,0,66
66,20268.797,0,0,0,0,0,0,1,0,0,0,0,67
67,20014.705,0,0,0,0,0,0,0,1,0,0,0,68
68,34806.52,0,0,0,0,0,0,0,0,1,0,0,69
69,47701.773,0,0,0,0,0,0,0,0,0,1,0,70
70,48789.625,0,0,0,0,0,0,0,0,0,0,1,71
71,43332.695,0,0,0,0,0,0,0,0,0,0,0,72
72,31789.594,1,0,0,0,0,0,0,0,0,0,0,73
73,42046.434,0,1,0,0,0,0,0,0,0,0,0,74
74,59702.98,0,0,1,0,0,0,0,0,0,0,0,75
75,38895.586,0,0,0,1,0,0,0,0,0,0,0,76
76,24620.924,0,0,0,0,1,0,0,0,0,0,0,77
77,15955.405,0,0,0,0,0,1,0,0,0,0,0,78
78,14437.3,0,0,0,0,0,0,1,0,0,0,0,79
79,16457.826,0,0,0,0,0,0,0,1,0,0,0,80
80,24926.293,0,0,0,0,0,0,0,0,1,0,0,81
81,44137.133,0,0,0,0,0,0,0,0,0,1,0,82
82,51754.516,0,0,0,0,0,0,0,0,0,0,1,83
83,34006.234,0,0,0,0,0,0,0,0,0,0,0,84
84,31976.848,1,0,0,0,0,0,0,0,0,0,0,85
85,45847.33,0,1,0,0,0,0,0,0,0,0,0,86
86,57735.72,0,0,1,0,0,0,0,0,0,0,0,87
87,37376.113,0,0,0,1,0,0,0,0,0,0,0,88
88,21828.426,0,0,0,0,1,0,0,0,0,0,0,89
89,15872.368,0,0,0,0,0,1,0,0,0,0,0,90
90,14988.513,0,0,0,0,0,0,1,0,0,0,0,91
91,16828.426,0,0,0,0,0,0,0,1,0,0,0,92
92,26846.166,0,0,0,0,0,0,0,0,1,0,0,93
93,39794.26,0,0,0,0,0,0,0,0,0,1,0,94
94,39822.39,0,0,0,0,0,0,0,0,0,0,1,95
95,39478.63,0,0,0,0,0,0,0,0,0,0,0,96
96,37554.188,1,0,0,0,0,0,0,0,0,0,0,97
97,46961.32,0,1,0,0,0,0,0,0,0,0,0,98
98,65755.51,0,0,1,0,0,0,0,0,0,0,0,99
99,43468.594,0,0,0,1,0,0,0,0,0,0,0,100
100,25910.754,0,0,0,0,1,0,0,0,0,0,0,101
101,18357.13,0,0,0,0,0,1,0,0,0,0,0,102
